label,billing_city,relationship,amount_2013,amount_lifetime,n_donations_life,season,package,n_seats,location,section,price_level,subscription_tier,multiple_subs,ID,first_donation_year
0.0,unknown,unknown,0.0,0.0,0,999,unknown,999.0,unknown,unknown,999.0,999.0,0,001i000000NuRo3,999
0.0,unknown,unknown,0.0,0.0,0,999,unknown,999.0,unknown,unknown,999.0,999.0,0,001i000000NuRxd,999
0.0,walnut creek,unknown,0.0,0.0,0,999,unknown,999.0,unknown,unknown,999.0,999.0,0,001i000000NuQGN,999
0.0,brisbane,unknown,0.0,0.0,0,2002,Full,1.0,San Francisco,unknown,999.0,1.0,0,001i000000NuPfL,999
0.0,oakland,unknown,0.0,0.0,0,999,unknown,999.0,unknown,unknown,999.0,999.0,0,001i000000NuQkP,999
0.0,princeton,unknown,0.0,2830.0,7,999,unknown,999.0,unknown,unknown,999.0,999.0,0,001i000000NuSpQ,999
0.0,san francisco,unknown,0.0,0.0,0,1997,Quartet,2.0,San Francisco,Dress Circle,3.0,1.0,0,001i000000NuOwD,999
0.0,san francisco,unknown,0.0,0.0,0,2010,Quartet A,1.0,Berkeley Saturday,Orchestra,1.0,0.5,0,001i000000NuQ2O,999
0.0,san francisco,unknown,0.0,0.0,0,2011,Trio,2.0,Berkeley Saturday,Orchestra,1.0,1.0,0,001i000000NuQ2O,999
1.0,oakland,unknown,100.0,352.0,5,2011,Full,2.0,Berkeley Saturday,Orchestra,0.0,2.0,0,001i000000Lhycc,999
1.0,oakland,unknown,100.0,352.0,5,2009,Full,2.0,Berkeley Saturday,Premium Orchestra,1.0,2.0,0,001i000000Lhycc,999
1.0,oakland,unknown,100.0,352.0,5,2005,Full,2.0,Berkeley Saturday,Orchestra Front,1.0,2.0,0,001i000000Lhycc,999
1.0,oakland,unknown,100.0,352.0,5,2003,Full,1.0,Berkeley Saturday,unknown,999.0,1.0,0,001i000000Lhycc,999
1.0,oakland,unknown,100.0,352.0,5,2013,Full,2.0,Berkeley Saturday,unknown,0.0,2.0,0,001i000000Lhycc,999
1.0,oakland,unknown,100.0,352.0,5,2002,Quartet CC,1.0,Contra Costa,unknown,999.0,0.5,0,001i000000Lhycc,999
1.0,oakland,unknown,100.0,352.0,5,2008,Full,2.0,Berkeley Saturday,Premium Orchestra,1.0,2.0,0,001i000000Lhycc,999
1.0,oakland,unknown,100.0,352.0,5,2010,Full,2.0,Berkeley Saturday,Orchestra,0.0,2.0,0,001i000000Lhycc,999
1.0,oakland,unknown,100.0,352.0,5,2006,Full,2.0,Berkeley Saturday,Premium Orchestra,1.0,2.0,0,001i000000Lhycc,999
1.0,oakland,unknown,100.0,352.0,5,2004,Full,1.0,Berkeley Saturday,unknown,999.0,1.0,0,001i000000Lhycc,999
1.0,oakland,unknown,100.0,352.0,5,2007,Full,2.0,Berkeley Saturday,Premium Orchestra,1.0,2.0,0,001i000000Lhycc,999
1.0,oakland,unknown,100.0,352.0,5,2012,Full,2.0,Berkeley Saturday,Orchestra,0.0,2.0,0,001i000000Lhycc,999
0.0,san rafael,unknown,0.0,25.0,1,999,unknown,999.0,unknown,unknown,999.0,999.0,0,001i000000NuO9k,999
0.0,dublin,unknown,0.0,0.0,0,1994,Full,2.0,Berkeley Saturday,Balcony Front,3.0,2.0,0,001i000000NuNjW,999
0.0,dublin,unknown,0.0,0.0,0,1993,Full,2.0,Berkeley Saturday,Balcony Front,3.0,2.0,0,001i000000NuNjW,999
0.0,san francisco,unknown,0.0,0.0,0,2006,Quartet,1.0,San Francisco,Orchestra,2.0,0.5,0,001i000000NuQIh,999
0.0,emeryville,unknown,0.0,0.0,0,999,unknown,999.0,unknown,unknown,999.0,999.0,0,001i000000NuQsp,999
0.0,san francisco,unknown,0.0,50.0,2,2007,Quartet,2.0,San Francisco,Premium Orchestra,1.0,1.0,0,001i000000NuQ0P,999
0.0,palo alto,unknown,0.0,0.0,0,2001,Quartet,2.0,Peninsula,Orchestra,2.0,1.0,0,001i000000NuP9h,999
0.0,palo alto,unknown,0.0,0.0,0,2004,Full,1.0,San Francisco,unknown,999.0,1.0,0,001i000000NuP9h,999
0.0,san francisco,unknown,0.0,10425.0,13,1995,Full,2.0,San Francisco,Orchestra,2.0,2.0,0,001i000000NuO0y,999
0.0,san francisco,unknown,0.0,10425.0,13,1996,Full,2.0,San Francisco,Orchestra,2.0,2.0,0,001i000000NuO0y,999
0.0,san francisco,unknown,0.0,10425.0,13,1998,Full,2.0,San Francisco,Orchestra,2.0,2.0,0,001i000000NuO0y,999
0.0,san francisco,unknown,0.0,10425.0,13,1997,Full,2.0,San Francisco,Orchestra,2.0,2.0,0,001i000000NuO0y,999
0.0,san francisco,unknown,0.0,10425.0,13,1993,Full,2.0,San Francisco,Orchestra,2.0,2.0,0,001i000000NuO0y,999
0.0,san francisco,unknown,0.0,10425.0,13,1994,Full,2.0,San Francisco,Orchestra,2.0,2.0,0,001i000000NuO0y,999
0.0,menlo park,unknown,0.0,0.0,0,999,unknown,999.0,unknown,unknown,999.0,999.0,0,001i000000NuQa2,999
1.0,el sobrante,unknown,0.0,1800.0,3,999,unknown,999.0,unknown,unknown,999.0,999.0,0,001i000000NuQYW,999
0.0,san francisco,unknown,0.0,0.0,0,999,unknown,999.0,unknown,unknown,999.0,999.0,0,001i000000NuQKp,999
0.0,san francisco,unknown,0.0,0.0,0,999,unknown,999.0,unknown,unknown,999.0,999.0,0,001i000000NuPvE,999
0.0,piedmont,unknown,0.0,0.0,0,999,unknown,999.0,unknown,unknown,999.0,999.0,0,001i000000NuQ11,999
0.0,san francisco,unknown,0.0,450.0,3,999,unknown,999.0,unknown,unknown,999.0,999.0,0,001i000000NuQ05,999
0.0,davis,unknown,0.0,0.0,0,999,unknown,999.0,unknown,unknown,999.0,999.0,0,001i000000NuPmu,999
1.0,sebastopol,unknown,0.0,0.0,0,2013,Trio A,1.0,Berkeley Sunday,unknown,4.0,0.5,0,001i000000P5kdM,999
0.0,oakland,unknown,0.0,0.0,0,999,unknown,999.0,unknown,unknown,999.0,999.0,0,001i000000NuNYK,999
0.0,huntington beach,unknown,0.0,0.0,0,999,unknown,999.0,unknown,unknown,999.0,999.0,0,001i000000NuNeM,999
0.0,san francisco,unknown,0.0,0.0,0,999,unknown,999.0,unknown,unknown,999.0,999.0,0,001i000000NuNvl,999
0.0,saint helena,unknown,0.0,81.0,1,1993,Full,2.0,Berkeley Sunday,Orchestra,2.0,2.0,0,001i000000NuOKc,999
0.0,saint helena,unknown,0.0,81.0,1,1994,Full,2.0,Berkeley Sunday,Orchestra,2.0,2.0,0,001i000000NuOKc,999
0.0,saint helena,unknown,0.0,81.0,1,1996,Quartet,1.0,Berkeley Sunday,Orchestra,2.0,0.5,0,001i000000NuOKc,999
0.0,saint helena,unknown,0.0,81.0,1,1995,Full,2.0,Berkeley Sunday,Orchestra,2.0,2.0,0,001i000000NuOKc,999
1.0,san francisco,unknown,2000.0,34277.0,33,2012,Full,2.0,San Francisco,Orchestra,1.0,2.0,0,001i000000Lhyc4,999
1.0,san francisco,unknown,2000.0,34277.0,33,2004,Full,1.0,San Francisco,unknown,999.0,1.0,0,001i000000Lhyc4,999
1.0,san francisco,unknown,2000.0,34277.0,33,2007,Full,2.0,San Francisco,Premium Orchestra,1.0,2.0,0,001i000000Lhyc4,999
1.0,san francisco,unknown,2000.0,34277.0,33,2013,Full,2.0,San Francisco,unknown,1.0,2.0,0,001i000000Lhyc4,999
